site_id,fold,model,mae_kw,rmse_kw,mean_error_kw,wape_pct,smape_pct,mape_pct,nrmse_by_median_pct,nrmse_by_peak_pct,peak_precision,peak_recall,peak_f1,peak_false_negative_count,peak_false_positive_count,peak_capture_rate_at_k,md_peak_rank,peak_time_error_intervals,md_abs_error_kw
1. Load Profile (With Solar Installed) SoL,5,enhanced_md_calibrated,172.47793383549686,207.06305138803492,172.47793383549686,243.78506549186835,95.13037010497095,244.43247461727472,293.70645586955305,276.0840685173799,0.4,0.18181818181818182,0.25000000000000006,9.0,0.0,0.18181818181818182,5.0,4.0,351.2997379212885
1. Load Profile (With Solar Installed) SoL,5,enhanced_peak_confirmed,174.31623690523193,210.07321995336375,174.31623690523193,246.38337371764234,95.35669688402609,246.95391084885162,297.9761985154095,280.09762660448496,0.0,0.0,0.0,11.0,1.0,0.18181818181818182,8.0,4.0,360.4858937918754
1. Load Profile (With Solar Installed) SoL,5,enhanced_peak_priority,174.31623690523193,210.07321995336375,174.31623690523193,246.38337371764234,95.35669688402609,246.95391084885162,297.9761985154095,280.09762660448496,0.2,0.18181818181818182,0.1904761904761905,9.0,4.0,0.18181818181818182,11.0,4.0,360.4858937918754
1. Load Profile (With Solar Installed) SoL,5,ridge_only,161.4698775513455,198.2242953444455,161.4698775513455,228.2259753375908,92.3087310145304,228.46716126861,281.1692132545326,264.29906045926066,0.4,0.18181818181818182,0.25000000000000006,9.0,0.0,0.18181818181818182,5.0,4.0,355.053959332092
1. Load Profile (With Solar Installed) SoL,5,seasonal,214.60416666666666,256.8536004873853,214.60416666666666,303.3274440518257,102.33016181502867,303.56146278761,364.3313482090571,342.47146731651367,0.4,0.18181818181818182,0.25000000000000006,9.0,1.0,0.2727272727272727,10.0,7.0,400.6000000000001
1. Load Profile (With Solar Installed) SoL,6,direct_hgb,210.18021136260336,248.14343796974265,-180.70683240747144,36.53851778423441,43.27295387482311,42.28303697547681,38.08801810740486,26.09289568556705,0.0,0.0,0.0,5.0,5.0,0.0,17.0,12.0,291.42914255262053
1. Load Profile (With Solar Installed) SoL,6,enhanced,239.88655214789674,290.6025286945877,-239.88655214789674,41.702779700478224,50.05470447712651,37.159766985701,44.60514638443403,30.557573995224786,0.6,0.6,0.6,2.0,3.0,0.2,8.0,13.0,334.0319999999999
1. Load Profile (With Solar Installed) SoL,6,enhanced_late_peak_uplift,236.63838548123007,288.21178450522916,-236.63838548123007,41.138106200786076,49.56937270972808,36.78684314337416,44.23818641676579,30.306181335986242,0.6,0.6,0.6,2.0,3.0,0.2,9.0,14.0,215.05600000000004
1. Load Profile (With Solar Installed) SoL,6,enhanced_md_calibrated,247.4687411584351,298.9749866167315,-247.4687411584351,43.02089593134941,51.28684102514537,37.99189068256439,45.89025120747989,31.43795863477723,1.0,1.0,1.0,0.0,2.0,0.4,16.0,7.0,355.91999999999996
1. Load Profile (With Solar Installed) SoL,6,enhanced_peak_confirmed,239.88655214789674,290.6025286945877,-239.88655214789674,41.702779700478224,50.05470447712651,37.159766985701,44.60514638443403,30.557573995224786,0.625,1.0,0.7692307692307693,0.0,3.0,0.8,2.0,13.0,334.0319999999999
