site_id,fold,model,elapsed_seconds,mae_kw,rmse_kw,mean_error_kw,wape_pct,smape_pct,mape_pct,nrmse_by_median_pct,nrmse_by_peak_pct,peak_precision,peak_recall,peak_f1,peak_false_negative_count,peak_false_positive_count,peak_capture_rate_at_k,md_peak_rank,peak_time_error_intervals,md_abs_error_kw
3. Load Profile (No Solar) SuN,9,direct_lgbm_quantile_p80_smoke,8210.52455860001,31.785181450052587,46.325745778555934,-28.314505694726805,20.991684531962864,17.304401840161457,15.615441273424988,45.865122354747214,15.04546719882949,0.3333333333333333,1.0,0.5,0.0,5.0,0.0,14.0,13.0,110.15814459996488
3. Load Profile (No Solar) SuN,9,direct_lgbm_quantile_p90_smoke,8210.52455860001,29.843809129118856,41.34531629997266,-19.98220642753176,19.709556399890868,18.70050694088155,18.140942414916164,40.93421398888231,13.427945730005248,0.6666666666666666,0.8,0.7272727272727272,1.0,0.0,0.8,2.0,1.0,98.00356241628432
3. Load Profile (No Solar) SuN,9,direct_lgbm_md_risk_smoke,8210.52455860001,57.020962291680625,80.5385197635315,-55.93127453409094,37.65799021839246,33.15584828969434,26.60351028755296,79.73771390280562,26.156937939796855,0.35714285714285715,1.0,0.5263157894736842,0.0,1.0,0.6,1.0,7.0,158.03213703362434
3. Load Profile (No Solar) SuN,10,direct_lgbm_quantile_p50_smoke,46.18803960000514,43.766643717375615,59.58858805282061,-43.766643717375615,48.199614919428406,52.37135787848418,38.45914104959295,98.93943191384614,39.73965544243483,0.3125,1.0,0.47619047619047616,0.0,4.0,0.2,8.0,7.0,101.44057520481446
3. Load Profile (No Solar) SuN,10,direct_lgbm_quantile_p80_smoke,46.18803960000514,38.254150379021134,56.43224356325824,-31.240305500585848,42.12878029316905,40.797681435673326,31.264932067055135,93.69871484156239,37.63468792144489,0.0,0.0,0.0,5.0,5.0,0.0,40.0,13.0,45.64114214055543
3. Load Profile (No Solar) SuN,10,direct_lgbm_quantile_p90_smoke,46.18803960000514,40.489337235389975,54.0875112385778,-19.692944347245753,44.59036145634091,42.8816883654124,37.55224060578044,89.80557872650162,36.07098490829505,0.0,0.0,0.0,5.0,7.0,0.0,40.0,8.0,39.10636587142193
3. Load Profile (No Solar) SuN,10,direct_lgbm_md_risk_smoke,46.18803960000514,43.766643717375615,59.58858805282061,-43.766643717375615,48.199614919428406,52.37135787848418,38.45914104959295,98.93943191384614,39.73965544243483,0.38461538461538464,1.0,0.5555555555555556,0.0,4.0,0.4,3.0,7.0,101.44057520481446
4. Load Profile (With Solar) Mi2,9,direct_lgbm_quantile_p50_smoke,37.004745699989144,145.44059492716542,194.30374011300472,100.49498740767116,13.658264152962925,14.97972252216564,19.218956370195585,18.167717635624566,13.635350183368752,1.0,1.0,1.0,0.0,0.0,0.8,2.0,1.0,155.28411884255297
4. Load Profile (With Solar) Mi2,9,direct_lgbm_quantile_p80_smoke,37.004745699989144,285.8344193038465,353.8171198765707,285.4796046969349,26.8425882389698,25.961326916813565,35.96552665659738,33.08247965185327,24.829271570285666,0.42857142857142855,0.6,0.5,2.0,1.0,0.4,1.0,0.0,37.84820886550119
4. Load Profile (With Solar) Mi2,9,direct_lgbm_quantile_p90_smoke,37.004745699989144,520.5858939568639,569.7797506225595,520.5858939568639,48.8879989629438,41.30013230093392,60.34708941490338,53.275339001641846,39.98454390333751,0.10416666666666667,1.0,0.18867924528301885,0.0,35.0,0.0,37.0,36.0,160.4400606235306
4. Load Profile (With Solar) Mi2,9,direct_lgbm_md_risk_smoke,37.004745699989144,145.44059492716542,194.30374011300472,100.49498740767116,13.658264152962925,14.97972252216564,19.218956370195585,18.167717635624566,13.635350183368752,0.35714285714285715,1.0,0.5263157894736842,0.0,3.0,0.4,1.0,1.0,155.28411884255297
4. Load Profile (With Solar) Mi2,10,direct_lgbm_quantile_p50_smoke,38.71464079999714,157.86738950437845,207.83252600321774,134.14933706167088,15.449741464738244,16.38918632458145,20.525458745424515,19.935973717335035,14.89838896080414,0.14285714285714285,0.2,0.16666666666666666,4.0,5.0,0.0,17.0,36.0,156.57819488545806
4. Load Profile (With Solar) Mi2,10,direct_lgbm_quantile_p80_smoke,38.71464079999714,330.80275272468884,386.648763857601,328.71663395246907,32.37411489140022,29.827497144238972,40.43666143406448,37.088610441976115,27.71675726577785,0.0,0.0,0.0,5.0,5.0,0.0,18.0,27.0,58.12033774253564
4. Load Profile (With Solar) Mi2,10,direct_lgbm_quantile_p90_smoke,38.71464079999714,557.530044909172,595.8506412294165,557.530044909172,54.56285227565449,44.60354923205421,64.47778597496242,57.155936808577124,42.713307615011935,0.10416666666666667,1.0,0.18867924528301885,0.0,35.0,0.0,6.0,5.0,184.34254490917215
4. Load Profile (With Solar) Mi2,10,direct_lgbm_md_risk_smoke,38.71464079999714,157.86738950437845,207.83252600321774,134.14933706167088,15.449741464738244,16.38918632458145,20.525458745424515,19.935973717335035,14.89838896080414,0.07692307692307693,0.2,0.1111111111111111,4.0,9.0,0.0,16.0,36.0,156.57819488545806
