policy,alert_quantile,match_window_intervals,score_smoothing_window,mae_kw,rmse_kw,mean_error_kw,wape_pct,smape_pct,mape_pct,nrmse_by_median_pct,nrmse_by_peak_pct,peak_precision,peak_recall,peak_f1,peak_false_negative_count,peak_false_positive_count,peak_capture_rate_at_k,md_peak_rank,peak_time_error_intervals,md_abs_error_kw,site_id,fold,cutoff
catch_more_25pct,0.75,2.0,1.0,38.40024700191189,44.550814285880946,-28.68363513175861,5.055435699648301,5.120615049285418,4.9815016195209765,6.461321868873233,4.640709821445932,0.4166666666666667,1.0,0.5882352941176471,0.0,6.0,0.8,1.0,1.0,52.66071426743645,1. Load Profile (With Solar Installed) SoL,9,2832
strict_15pct,0.85,2.0,1.0,28.355501207493102,36.62751121489497,-17.28387548788302,3.7876775698771885,3.73513581634261,3.6768551987834854,5.374543098297134,3.9257782652620548,0.625,1.0,0.7692307692307693,0.0,0.0,0.4,12.0,4.0,22.87829626164671,1. Load Profile (With Solar Installed) SoL,10,2880
current_20pct,0.8,2.0,1.0,28.355501207493102,36.62751121489497,-17.28387548788302,3.7876775698771885,3.73513581634261,3.6768551987834854,5.374543098297134,3.9257782652620548,0.5,1.0,0.6666666666666666,0.0,1.0,0.4,12.0,4.0,22.87829626164671,1. Load Profile (With Solar Installed) SoL,10,2880
smoothed_20pct,0.8,2.0,3.0,28.355501207493102,36.62751121489497,-17.28387548788302,3.7876775698771885,3.73513581634261,3.6768551987834854,5.374543098297134,3.9257782652620548,0.5,1.0,0.6666666666666666,0.0,0.0,0.4,10.0,4.0,22.87829626164671,1. Load Profile (With Solar Installed) SoL,10,2880
catch_more_25pct,0.75,2.0,1.0,28.355501207493102,36.62751121489497,-17.28387548788302,3.7876775698771885,3.73513581634261,3.6768551987834854,5.374543098297134,3.9257782652620548,0.4166666666666667,1.0,0.5882352941176471,0.0,1.0,0.4,12.0,4.0,22.87829626164671,1. Load Profile (With Solar Installed) SoL,10,2880
catch_more_25pct,0.75,2.0,1.0,134.36528020669235,183.5792291452484,-70.86014274821139,12.289273165376482,12.477882550914758,11.709873246063216,16.96665703745364,12.479893211777593,0.4166666666666667,1.0,0.5882352941176471,0.0,6.0,0.0,44.0,7.0,196.04462330345746,2. Load Profile (No Solar) E,1,2448
current_20pct,0.8,2.0,1.0,134.36528020669235,183.5792291452484,-70.86014274821139,12.289273165376482,12.477882550914758,11.709873246063216,16.96665703745364,12.479893211777593,0.4,0.8,0.5333333333333333,1.0,5.0,0.0,44.0,7.0,196.04462330345746,2. Load Profile (No Solar) E,1,2448
strict_15pct,0.85,2.0,1.0,134.36528020669235,183.5792291452484,-70.86014274821139,12.289273165376482,12.477882550914758,11.709873246063216,16.96665703745364,12.479893211777593,0.375,0.6,0.4615384615384615,2.0,4.0,0.0,44.0,7.0,196.04462330345746,2. Load Profile (No Solar) E,1,2448
smoothed_20pct,0.8,2.0,3.0,134.36528020669235,183.5792291452484,-70.86014274821139,12.289273165376482,12.477882550914758,11.709873246063216,16.96665703745364,12.479893211777593,0.2,0.4,0.26666666666666666,3.0,5.0,0.2,44.0,7.0,196.04462330345746,2. Load Profile (No Solar) E,1,2448
strict_15pct,0.85,2.0,1.0,208.6673963471969,247.86938738466625,-166.85281317134672,17.17515479991332,18.17208542459563,16.477470250988933,20.70755115995541,15.889063293888864,0.375,0.6,0.4615384615384615,2.0,4.0,0.2,29.0,15.0,287.86482568885367,2. Load Profile (No Solar) E,2,2496
current_20pct,0.8,2.0,1.0,208.6673963471969,247.86938738466625,-166.85281317134672,17.17515479991332,18.17208542459563,16.477470250988933,20.70755115995541,15.889063293888864,0.3,0.6,0.4,2.0,5.0,0.2,29.0,15.0,287.86482568885367,2. Load Profile (No Solar) E,2,2496
smoothed_20pct,0.8,2.0,3.0,208.6673963471969,247.86938738466625,-166.85281317134672,17.17515479991332,18.17208542459563,16.477470250988933,20.70755115995541,15.889063293888864,0.3,0.6,0.4,2.0,4.0,0.0,32.0,15.0,287.86482568885367,2. Load Profile (No Solar) E,2,2496
catch_more_25pct,0.75,2.0,1.0,208.6673963471969,247.86938738466625,-166.85281317134672,17.17515479991332,18.17208542459563,16.477470250988933,20.70755115995541,15.889063293888864,0.25,0.6,0.35294117647058826,2.0,5.0,0.2,29.0,15.0,287.86482568885367,2. Load Profile (No Solar) E,2,2496
smoothed_20pct,0.8,2.0,3.0,201.74422798066715,231.53722991406576,-183.89385119173292,16.45464468415494,17.562063160278893,15.870246821779322,19.135308257360805,15.093691650199855,0.4,0.8,0.5333333333333333,1.0,2.0,0.6,4.0,1.0,238.07014339534794,2. Load Profile (No Solar) E,3,2544
strict_15pct,0.85,2.0,1.0,201.74422798066715,231.53722991406576,-183.89385119173292,16.45464468415494,17.562063160278893,15.870246821779322,19.135308257360805,15.093691650199855,0.375,0.6,0.4615384615384615,2.0,3.0,0.4,6.0,1.0,238.07014339534794,2. Load Profile (No Solar) E,3,2544
current_20pct,0.8,2.0,1.0,201.74422798066715,231.53722991406576,-183.89385119173292,16.45464468415494,17.562063160278893,15.870246821779322,19.135308257360805,15.093691650199855,0.3,0.6,0.4,2.0,4.0,0.4,6.0,1.0,238.07014339534794,2. Load Profile (No Solar) E,3,2544
catch_more_25pct,0.75,2.0,1.0,201.74422798066715,231.53722991406576,-183.89385119173292,16.45464468415494,17.562063160278893,15.870246821779322,19.135308257360805,15.093691650199855,0.25,0.6,0.35294117647058826,2.0,5.0,0.4,6.0,1.0,238.07014339534794,2. Load Profile (No Solar) E,3,2544
smoothed_20pct,0.8,2.0,3.0,157.18258059622028,197.02548010238175,48.59970746038573,13.66631743912651,13.761446720110118,15.028640932373058,16.984955181239805,13.855518994541614,0.5,1.0,0.6666666666666666,0.0,6.0,0.2,15.0,10.0,34.29860676021917,2. Load Profile (No Solar) E,4,2592
catch_more_25pct,0.75,2.0,1.0,157.18258059622028,197.02548010238175,48.59970746038573,13.66631743912651,13.761446720110118,15.028640932373058,16.984955181239805,13.855518994541614,0.4166666666666667,1.0,0.5882352941176471,0.0,7.0,0.2,11.0,10.0,34.29860676021917,2. Load Profile (No Solar) E,4,2592
strict_15pct,0.85,2.0,1.0,157.18258059622028,197.02548010238175,48.59970746038573,13.66631743912651,13.761446720110118,15.028640932373058,16.984955181239805,13.855518994541614,0.375,0.6,0.4615384615384615,2.0,5.0,0.2,11.0,10.0,34.29860676021917,2. Load Profile (No Solar) E,4,2592
