model,site_id,site_type,light_regime,horizon_bucket,actual_peak_regime,rows,mean_error_kw,mean_abs_error_kw,max_abs_error_kw
direct_lgbm_quantile_p80_smoke,2. Load Profile (No Solar) E,non_solar,night,early,actual_peak,1,-55.183175514581876,55.183175514581876,55.183175514581876
direct_lgbm_quantile_p90_smoke,1. Load Profile (With Solar Installed) SoL,solar,daylight,late,non_peak,5,53.11537772901363,53.11537772901363,71.92508276289175
direct_lgbm_quantile_p50_smoke,1. Load Profile (With Solar Installed) SoL,solar,daylight,late,non_peak,5,-44.169733686257906,49.895289865356425,79.04806917819599
direct_lgbm_quantile_p80_smoke,1. Load Profile (With Solar Installed) SoL,solar,night,early,non_peak,22,49.5989973945161,49.5989973945161,99.45793806907727
direct_lgbm_quantile_p50_smoke,1. Load Profile (With Solar Installed) SoL,solar,daylight,early,non_peak,10,24.735463580826423,45.08131154343005,89.56507934350623
direct_lgbm_quantile_p90_smoke,3. Load Profile (No Solar) SuN,non_solar,daylight,late,non_peak,5,-14.580003508248291,44.553359050109464,79.19392041161043
direct_lgbm_quantile_p80_smoke,3. Load Profile (No Solar) SuN,non_solar,daylight,late,non_peak,5,-41.76284795165178,43.90632050064422,90.31214193785112
direct_lgbm_quantile_p80_smoke,2. Load Profile (No Solar) E,non_solar,daylight,early,non_peak,7,23.190105642583035,40.35006763660777,117.81682448541812
direct_lgbm_quantile_p80_smoke,1. Load Profile (With Solar Installed) SoL,solar,daylight,middle,non_peak,23,31.6586812984053,31.6586812984053,105.06477674765097
direct_lgbm_quantile_p50_smoke,1. Load Profile (With Solar Installed) SoL,solar,daylight,late,actual_peak,1,-26.735154439722464,26.735154439722464,26.735154439722464
direct_lgbm_quantile_p50_smoke,1. Load Profile (With Solar Installed) SoL,solar,daylight,middle,non_peak,23,12.853705625385102,24.382193784340974,68.16942566450211
direct_lgbm_quantile_p80_smoke,1. Load Profile (With Solar Installed) SoL,solar,daylight,late,non_peak,5,21.516931608960295,21.516931608960295,24.842167343868937
direct_lgbm_quantile_p50_smoke,3. Load Profile (No Solar) SuN,non_solar,night,late,non_peak,26,-17.141933468632306,19.15366471341325,88.65542736362016
direct_lgbm_quantile_p50_smoke,3. Load Profile (No Solar) SuN,non_solar,daylight,early,non_peak,10,-18.962703555468615,18.962703555468615,37.438528602131974
direct_lgbm_quantile_p50_smoke,1. Load Profile (With Solar Installed) SoL,solar,night,early,non_peak,22,14.005638980558041,17.94441841061739,67.4704456058231
direct_lgbm_quantile_p90_smoke,3. Load Profile (No Solar) SuN,non_solar,night,late,non_peak,26,13.772931833467071,16.389795875711766,47.32991140665118
direct_lgbm_quantile_p80_smoke,1. Load Profile (With Solar Installed) SoL,solar,daylight,late,actual_peak,1,-16.157832656131063,16.157832656131063,16.157832656131063
direct_lgbm_quantile_p90_smoke,3. Load Profile (No Solar) SuN,non_solar,daylight,early,non_peak,10,4.295175345221372,16.116956766052976,30.39457412857807
direct_lgbm_quantile_p50_smoke,1. Load Profile (With Solar Installed) SoL,solar,daylight,middle,actual_peak,9,-11.77848783078097,13.63248136201677,56.99748763289506
direct_lgbm_quantile_p80_smoke,3. Load Profile (No Solar) SuN,non_solar,night,late,non_peak,26,2.043218761231906,13.185239433042584,46.64417892228579
direct_lgbm_quantile_p80_smoke,3. Load Profile (No Solar) SuN,non_solar,daylight,early,non_peak,10,-5.947090346356867,11.67277833477387,31.43651475031436
direct_lgbm_quantile_p90_smoke,1. Load Profile (With Solar Installed) SoL,solar,daylight,late,actual_peak,1,-8.099179821803546,8.099179821803546,8.099179821803546
direct_lgbm_quantile_p50_smoke,3. Load Profile (No Solar) SuN,non_solar,night,early,non_peak,22,-7.589154637984806,7.589154637984806,14.12514963319854
direct_lgbm_quantile_p90_smoke,3. Load Profile (No Solar) SuN,non_solar,night,early,non_peak,22,7.576472023781924,7.576472023781924,11.645698608181121
direct_lgbm_quantile_p80_smoke,1. Load Profile (With Solar Installed) SoL,solar,daylight,middle,actual_peak,9,-2.86284962954715,5.408345473630713,22.013977843458065
direct_lgbm_quantile_p80_smoke,3. Load Profile (No Solar) SuN,non_solar,night,early,non_peak,22,-1.113507410969107,2.9018180809810383,5.801141855586508
